Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
My Old Ass,https://www.imdb.com/title/tt18559464/,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott&apos;s &quot;old ass&quot; delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love.",10,1,7,"Comedy, Drama, Romance",PT1H29M
Moana,https://www.imdb.com/title/tt3521164/,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana&apos;s island, she answers the Ocean&apos;s call to seek out Maui to set things right.",10,1,7.6,"Animation, Adventure, Comedy",PT1H47M
Here,https://www.imdb.com/title/tt18272208/,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life.",10,1,6.2,Drama,PT1H44M
The Piano Lesson,https://www.imdb.com/title/tt15507512/,"Follows the lives of the Charles family as they deal with themes of family legacy and more, in deciding what to do with an heirloom, the family piano.",10,1,6.2,"Drama, Music",PT2H5M
Venom: The Last Dance,https://www.imdb.com/title/tt16366836/,Eddie Brock and Venom must make a devastating decision as they&apos;re pursued by a mysterious military man and alien monsters from Venom&apos;s home world.,10,1,6.2,"Action, Adventure, Sci-Fi",PT1H50M
Terrifier 3,https://www.imdb.com/title/tt27911000/,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,10,1,6.4,Horror,PT2H5M
Nutcrackers,https://www.imdb.com/title/tt30144381/,"In the most unlikely of places, four siblings find a loving shelter in an unexpected turn of circumstances. This endearing comedy-drama draws inspiration from actual events and deftly crafts a gripping story that unites everyone.",10,1,5.5,"Comedy, Drama",PT1H44M
Elf,https://www.imdb.com/title/tt0319343/,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn&apos;t know he exists and is in desperate need of some Christmas spirit.",10,1,7.1,"Adventure, Comedy, Family",PT1H37M
Home Alone,https://www.imdb.com/title/tt0099785/,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",10,1,7.7,"Comedy, Family",PT1H43M
Love Actually,https://www.imdb.com/title/tt0314331/,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",10,1,7.6,"Comedy, Drama, Romance",PT2H15M
Oz the Great and Powerful,https://www.imdb.com/title/tt1623205/,A small-time magician is swept away to an enchanted land and is forced into a power struggle among three witches.,10,1,6.3,"Adventure, Family, Fantasy",PT2H10M
Dune: Part Two,https://www.imdb.com/title/tt15239678/,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...",10,1,8.5,"Action, Adventure, Drama",PT2H46M
The Batman,https://www.imdb.com/title/tt1877830/,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city&apos;s hidden corruption and question his family&apos;s involvement.",10,1,7.8,"Action, Crime, Drama",PT2H56M
Queer,https://www.imdb.com/title/tt24176060/,"In 1950s Mexico City, an American ex-pat in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with som...",10,1,6,"Biography, Drama, History",PT2H17M
Interstellar,https://www.imdb.com/title/tt0816692/,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",10,1,8.7,"Adventure, Drama, Sci-Fi",PT2H49M
Armor,https://www.imdb.com/title/tt29252358/,A father and son working as security guards for an armored truck company encounter a team of would-be robbers while on a bridge. They become trapped and must come up with a plan to escape and ensure their survival.,10,1,3.5,"Action, Crime, Thriller",PT1H29M
Cruel Intentions,https://www.imdb.com/title/tt0139134/,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster&apos;s daughter before the start of term.,10,1,6.8,"Drama, Romance",PT1H37M
Saturday Night,https://www.imdb.com/title/tt27657135/,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1...",10,1,7.1,"Biography, Comedy, Drama",PT1H49M
Transformers One,https://www.imdb.com/title/tt8864596/,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",10,1,7.6,"Animation, Action, Adventure",PT1H44M
Blink Twice,https://www.imdb.com/title/tt14858658/,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her ...",10,1,6.5,"Mystery, Thriller",PT1H42M
Megalopolis,https://www.imdb.com/title/tt10128846/,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of an Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her ...",10,1,4.8,"Drama, Fantasy, Sci-Fi",PT2H18M
Woman of the Hour,https://www.imdb.com/title/tt7737800/,"Sheryl Bradshaw, a single woman looking for a suitor on a hit 1970s TV show, chooses charming bachelor Rodney Alcala, unaware that, behind the man&apos;s gentle facade, he hides a deadly secret.",10,1,6.6,"Crime, Drama, Mystery",PT1H35M
The Godfather,https://www.imdb.com/title/tt0068646/,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,10,1,9.2,"Crime, Drama",PT2H55M
Babygirl,https://www.imdb.com/title/tt30057084/,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,10,1,6,"Crime, Mystery, Thriller",PT1H54M
Thanksgiving,https://www.imdb.com/title/tt1448754/,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",10,1,6.2,"Horror, Mystery, Thriller",PT1H46M
The Lord of the Rings: The War of the Rohirrim,https://www.imdb.com/title/tt14824600/,"A sudden attack by Wulf, a clever and ruthless Dunlending lord seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the H...",10,1,7,"Animation, Action, Adventure",PT2H14M
Mary Poppins,https://www.imdb.com/title/tt0058331/,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",10,1,7.8,"Comedy, Family, Fantasy",PT2H19M
Harry Potter and the Sorcerer&apos;s Stone,https://www.imdb.com/title/tt0241527/,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",10,1,7.7,"Adventure, Family, Fantasy",PT2H32M
Ready or Not,https://www.imdb.com/title/tt7798634/,A bride&apos;s wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,10,1,6.9,"Action, Comedy, Horror",PT1H35M
Emilia Pérez,https://www.imdb.com/title/tt20221436/,"Emilia Pérez follows four remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists Rita, an unappreciated lawyer, to help fake her death so that she can finally live authentically as her true self.",10,1,6.9,"Comedy, Crime, Musical",PT2H12M
Beetlejuice Beetlejuice,https://www.imdb.com/title/tt2049403/,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia&apos;s life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Af...",10,1,6.8,"Comedy, Fantasy, Horror",PT1H45M
The Hunt,https://www.imdb.com/title/tt8244784/,"Twelve strangers wake up in a clearing. They don&apos;t know where they are, or how they got there. They don&apos;t know they&apos;ve been chosen - for a very specific purpose - The Hunt.",10,1,6.6,"Action, Horror, Thriller",PT1H30M
Trap,https://www.imdb.com/title/tt26753003/,A father and his teen daughter attend a pop concert only to realize they&apos;ve entered the center of a dark and sinister event.,10,1,5.9,"Crime, Horror, Mystery",PT1H45M
Bonhoeffer: Pastor. Spy. Assassin.,https://www.imdb.com/title/tt26237514/,"As the world teeters on the brink of annihilation, Dietrich Bonhoeffer joins a deadly plot to assassinate Hitler, risking his faith and fate to save millions of Jews from genocide.",10,1,7,"Biography, Drama, History",PT2H13M
IF,https://www.imdb.com/title/tt11152168/,A young girl who goes through a difficult experience begins to see everyone&apos;s imaginary friends who have been left behind as their real-life friends have grown up.,10,1,6.4,"Animation, Comedy, Drama",PT1H44M
Out of My Mind,https://www.imdb.com/title/tt5012320/,"Melody Brooks is navigating sixth grade as a nonverbal wheelchair user who has cerebral palsy. With the help of some assistive technology and her devoted allies, Melody shows that what she has to say is more important than how she...",10,1,7.4,Drama,PT1H42M
Longlegs,https://www.imdb.com/title/tt23468450/,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",10,1,6.7,"Crime, Horror, Thriller",PT1H41M
Abigail,https://www.imdb.com/title/tt27489557/,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they&apos;re locked inside with no normal little girl.",10,1,6.6,"Horror, Thriller",PT1H49M
The Best Christmas Pageant Ever,https://www.imdb.com/title/tt2347285/,Nobody is ready for the mayhem and surprises that ensue when six of the worst youngsters disrupt the town&apos;s yearly Christmas performance.,10,1,7.3,"Adventure, Comedy, Drama",PT1H39M
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",10,1,9.3,Drama,PT2H22M
Joker: Folie à Deux,https://www.imdb.com/title/tt11315808/,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",10,1,5.2,"Musical, Thriller",PT2H18M
Smile,https://www.imdb.com/title/tt15474916/,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.",10,1,6.5,"Horror, Mystery, Thriller",PT1H55M
